genre,word,number,senti,n
Country,alone,1,negative,29
Country,alone,2,negative,24
Country,alone,3,negative,25
Country,alone,4,negative,31
Country,alone,5,negative,29
Country,bad,1,negative,17
Country,bad,2,negative,13
Country,bad,3,negative,14
Country,bad,4,negative,13
Country,bad,5,negative,17
Country,good,1,positive,42
Country,good,2,positive,54
Country,good,3,positive,54
Country,good,4,positive,54
Country,good,5,positive,63
Country,happy,1,positive,11
Country,happy,2,positive,13
Country,happy,3,positive,17
Country,happy,4,positive,12
Country,happy,5,positive,15
Country,like,1,positive,146
Country,like,2,positive,164
Country,like,3,positive,142
Country,like,4,positive,159
Country,like,5,positive,136
Country,lost,1,negative,22
Country,lost,2,negative,22
Country,lost,3,negative,23
Country,lost,4,negative,26
Country,lost,5,negative,19
Country,love,1,positive,171
Country,love,2,positive,215
Country,love,3,positive,239
Country,love,4,positive,250
Country,love,5,positive,293
Country,no,1,negative,110
Country,no,2,negative,122
Country,no,3,negative,111
Country,no,4,negative,135
Country,no,5,negative,125
Country,want,1,positive,56
Country,want,2,positive,59
Country,want,3,positive,58
Country,want,4,positive,60
Country,want,5,positive,58
Country,wrong,1,negative,22
Country,wrong,2,negative,18
Country,wrong,3,negative,22
Country,wrong,4,negative,21
Country,wrong,5,negative,16
Electronic,alone,1,negative,11
Electronic,alone,2,negative,14
Electronic,alone,3,negative,8
Electronic,alone,4,negative,11
Electronic,alone,5,negative,11
Electronic,bad,1,negative,6
Electronic,bad,2,negative,2
Electronic,bad,3,negative,9
Electronic,bad,4,negative,5
Electronic,bad,5,negative,3
Electronic,good,1,positive,12
Electronic,good,2,positive,16
Electronic,good,3,positive,21
Electronic,good,4,positive,17
Electronic,good,5,positive,18
Electronic,happy,1,positive,6
Electronic,happy,2,positive,6
Electronic,happy,3,positive,3
Electronic,happy,4,positive,1
Electronic,happy,5,positive,1
Electronic,like,1,positive,72
Electronic,like,2,positive,50
Electronic,like,3,positive,66
Electronic,like,4,positive,60
Electronic,like,5,positive,47
Electronic,lost,1,negative,5
Electronic,lost,2,negative,8
Electronic,lost,3,negative,11
Electronic,lost,4,negative,7
Electronic,lost,5,negative,13
Electronic,love,1,positive,59
Electronic,love,2,positive,85
Electronic,love,3,positive,77
Electronic,love,4,positive,93
Electronic,love,5,positive,116
Electronic,no,1,negative,63
Electronic,no,2,negative,73
Electronic,no,3,negative,70
Electronic,no,4,negative,85
Electronic,no,5,negative,67
Electronic,want,1,positive,33
Electronic,want,2,positive,38
Electronic,want,3,positive,42
Electronic,want,4,positive,46
Electronic,want,5,positive,44
Electronic,wrong,1,negative,4
Electronic,wrong,2,negative,8
Electronic,wrong,3,negative,6
Electronic,wrong,4,negative,6
Electronic,wrong,5,negative,7
Folk,alone,1,negative,4
Folk,alone,2,negative,3
Folk,alone,3,negative,1
Folk,alone,4,negative,2
Folk,alone,5,negative,5
Folk,bad,1,negative,1
Folk,bad,2,negative,2
Folk,bad,3,negative,1
Folk,bad,5,negative,1
Folk,good,1,positive,3
Folk,good,2,positive,3
Folk,good,3,positive,2
Folk,good,4,positive,7
Folk,good,5,positive,8
Folk,happy,2,positive,2
Folk,happy,4,positive,2
Folk,like,1,positive,5
Folk,like,2,positive,8
Folk,like,3,positive,11
Folk,like,4,positive,10
Folk,like,5,positive,5
Folk,lost,1,negative,2
Folk,lost,2,negative,2
Folk,lost,3,negative,3
Folk,lost,4,negative,2
Folk,lost,5,negative,3
Folk,love,1,positive,8
Folk,love,2,positive,6
Folk,love,3,positive,10
Folk,love,4,positive,6
Folk,love,5,positive,14
Folk,no,1,negative,7
Folk,no,2,negative,13
Folk,no,3,negative,13
Folk,no,4,negative,10
Folk,no,5,negative,12
Folk,want,1,positive,7
Folk,want,2,positive,5
Folk,want,3,positive,7
Folk,want,4,positive,2
Folk,want,5,positive,4
Folk,wrong,1,negative,1
Folk,wrong,2,negative,2
Folk,wrong,3,negative,1
Folk,wrong,4,negative,1
Folk,wrong,5,negative,2
Hip-Hop,alone,1,negative,28
Hip-Hop,alone,2,negative,31
Hip-Hop,alone,3,negative,27
Hip-Hop,alone,4,negative,30
Hip-Hop,alone,5,negative,17
Hip-Hop,bad,1,negative,60
Hip-Hop,bad,2,negative,51
Hip-Hop,bad,3,negative,53
Hip-Hop,bad,4,negative,54
Hip-Hop,bad,5,negative,63
Hip-Hop,good,1,positive,106
Hip-Hop,good,2,positive,109
Hip-Hop,good,3,positive,94
Hip-Hop,good,4,positive,120
Hip-Hop,good,5,positive,112
Hip-Hop,happy,1,positive,11
Hip-Hop,happy,2,positive,19
Hip-Hop,happy,3,positive,12
Hip-Hop,happy,4,positive,11
Hip-Hop,happy,5,positive,16
Hip-Hop,like,1,positive,674
Hip-Hop,like,2,positive,825
Hip-Hop,like,3,positive,789
Hip-Hop,like,4,positive,756
Hip-Hop,like,5,positive,673
Hip-Hop,lost,1,negative,24
Hip-Hop,lost,2,negative,32
Hip-Hop,lost,3,negative,34
Hip-Hop,lost,4,negative,30
Hip-Hop,lost,5,negative,22
Hip-Hop,love,1,positive,244
Hip-Hop,love,2,positive,267
Hip-Hop,love,3,positive,244
Hip-Hop,love,4,positive,258
Hip-Hop,love,5,positive,352
Hip-Hop,no,1,negative,386
Hip-Hop,no,2,negative,412
Hip-Hop,no,3,negative,422
Hip-Hop,no,4,negative,393
Hip-Hop,no,5,negative,461
Hip-Hop,want,1,positive,236
Hip-Hop,want,2,positive,246
Hip-Hop,want,3,positive,231
Hip-Hop,want,4,positive,243
Hip-Hop,want,5,positive,264
Hip-Hop,wrong,1,negative,27
Hip-Hop,wrong,2,negative,30
