genre,number,mean
Country,1,0.417639366493922
Country,2,0.496181881291218
Country,3,0.488846454300842
Country,4,0.511765708926592
Country,5,0.609131532931805
Electronic,1,0.196377502383222
Electronic,2,0.243151390319259
Electronic,3,0.216734279918864
Electronic,4,0.309184481393508
Electronic,5,0.315896865145613
Folk,1,0.369689283449588
Folk,2,0.177521613832853
Folk,3,0.241019698725377
Folk,4,0.220975883342681
Folk,5,0.269989615784008
Hip-Hop,1,-0.477559433832623
Hip-Hop,2,-0.495319264069264
Hip-Hop,3,-0.508507098193919
Hip-Hop,4,-0.508737942993389
Hip-Hop,5,-0.463525718549777
Indie,1,0.132165206508135
Indie,2,0.0971824259789876
Indie,3,0.161635369622058
Indie,4,0.108356940509915
Indie,5,0.269847972972973
Jazz,1,0.769298710475181
Jazz,2,0.803137189808283
Jazz,3,0.781257830117765
Jazz,4,0.77264522481129
Jazz,5,0.88071809509502
Metal,1,-0.61788204162638
Metal,2,-0.608624955814776
Metal,3,-0.606991950522862
Metal,4,-0.59116477205865
Metal,5,-0.603101728796433
Pop,1,0.429328315383486
Pop,2,0.490826887867578
Pop,3,0.488930962368984
Pop,4,0.511697500575486
Pop,5,0.62769820683433
R&B,1,0.480794701986755
R&B,2,0.495152792413066
R&B,3,0.495257380368752
R&B,4,0.518003186404673
R&B,5,0.576298857197734
Rock,1,0.100765254613738
Rock,2,0.137159146561203
Rock,3,0.127625209330417
Rock,4,0.152732370164372
Rock,5,0.207413123526895
